PostalCode,Neighborhood,County,Latitude,Longitude
32530,Bagdad,Santa Rosa County,30.5987,-87.0312
32526,Bellview,Escambia County,30.50217,-87.36131
32533,Cantonment,Escambia County,30.61644,-87.31527
32535,Century,Escambia County,30.95349,-87.33341
32521,City of Pensacola,Escambia County,30.3745,-87.2756
32559,Educ Dev Ctr Corresp,Escambia County,30.4643,-87.3393
32560,Gonzalez,Escambia County,30.5814,-87.2916
32561,Gulf Breeze,Santa Rosa County,30.3556,-87.11058
32562,Gulf Breeze,Santa Rosa County,30.3569,-87.1636
32563,Gulf Breeze,Santa Rosa County,30.40044,-87.05243
32566,Gulf Breeze,Santa Rosa County,30.42727,-86.88539
32520,Gulf Power,Escambia County,30.4182,-87.2161
32565,Jay,Santa Rosa County,30.87674,-87.11074
32568,Mc David,Escambia County,30.87329,-87.45894
32570,Milton,Santa Rosa County,30.79989,-86.98599
32571,Milton,Santa Rosa County,30.66446,-87.19924
32572,Milton,Santa Rosa County,30.6322,-87.0397
32583,Milton,Santa Rosa County,30.56613,-86.97023
32577,Molino,Escambia County,30.74167,-87.40102
32566,Navarre,Santa Rosa County,30.42727,-86.88539
32509,Netpmdsa Saufley Field,Escambia County,30.4729,-87.3366
32511,NTT Corry Field,Escambia County,30.397,-87.353
32571,Pace,Santa Rosa County,30.66446,-87.19924
32590,Pcola,Escambia County,30.418,-87.225
32501,Pensacola,Escambia County,30.42417,-87.22106
32502,Pensacola,Escambia County,30.423,-87.227
32503,Pensacola,Escambia County,30.46224,-87.21753
32504,Pensacola,Escambia County,30.48065,-87.19414
32505,Pensacola,Escambia County,30.4546,-87.25835
32506,Pensacola,Escambia County,30.39107,-87.34942
32507,Pensacola,Escambia County,30.3473,-87.37869
32508,Pensacola,Escambia County,30.35109,-87.30299
32509,Pensacola,Escambia County,30.4729,-87.3366
32511,Pensacola,Escambia County,30.397,-87.353
32512,Pensacola,Escambia County,30.3529,-87.3242
32513,Pensacola,Escambia County,30.4213,-87.2168
32514,Pensacola,Escambia County,30.53843,-87.21221
32516,Pensacola,Escambia County,30.4266,-87.2823
32520,Pensacola,Escambia County,30.4182,-87.2161
32521,Pensacola,Escambia County,30.3745,-87.2756
32522,Pensacola,Escambia County,30.423,-87.223
32523,Pensacola,Escambia County,30.517,-87.219
32524,Pensacola,Escambia County,30.485,-87.19
32526,Pensacola,Escambia County,30.50217,-87.36131
32534,Pensacola,Escambia County,30.53699,-87.29449
32559,Pensacola,Escambia County,30.4643,-87.3393
32590,Pensacola,Escambia County,30.418,-87.225
32591,Pensacola,Escambia County,30.4213,-87.2168
32592,Pensacola,Escambia County,30.421,-87.224
32561,Pensacola Bch,Santa Rosa County,30.3484,-87.1492
32561,Pensacola Beach,Santa Rosa County,30.3484,-87.1492
32512,Pensacola Naval Hospital,Escambia County,30.3968,-87.2965
32507,Perdido Key,Escambia County,30.3531,-87.3522
32590,PNS,Escambia County,30.418,-87.225
32568,Walnut Hill,Escambia County,30.89,-87.4429